,resturant_id,resturant,resturant_rating,cuisine,resturant_review_count,phone,address
0,fiore-deli-of-hoboken-hoboken,Fiore Deli of Hoboken,4.5,"['Delis', 'Italian']",486,(201) 659-1655,"414 Adams St Hoboken, NJ 07030"
0,anthony-davids-hoboken,Anthony David’s,4.0,"['Breakfast & Brunch', 'American (New)', 'Italian']",592,(201) 222-8399,"953 Bloomfield St Hoboken, NJ 07030"
0,m-and-p-biancamano-hoboken,M & P Biancamano,4.5,"['Grocery', 'Delis']",171,(201) 795-0274,"1116 Washington St Hoboken, NJ 07030"
0,mamouns-falafel-restaurant-hoboken,Mamoun’s Falafel Restaurant,4.0,"['Middle Eastern', 'Falafel']",698,(201) 656-0310,"300 Washington St Hoboken, NJ 07030"
0,bw%C3%A8-kafe-hoboken,bwè kafe,4.5,"['Cafes', 'Coffee & Tea']",242,(201) 683-0045,"1002 Washington St Hoboken, NJ 07030"
0,la-isla-restaurant-hoboken,La Isla Restaurant,4.0,['Cuban'],835,(201) 659-8197,"104 Washington St Hoboken, NJ 07030"
0,the-cuban-restaurant-and-bar-hoboken-2,The Cuban Restaurant and Bar,4.0,"['Cuban', 'Bars', 'Latin American']",929,(201) 795-9899,"333 Washington St Hoboken, NJ 07030"
0,karma-kafe-hoboken,Karma Kafe,4.0,['Indian'],566,(201) 610-0900,"505 Washington St Hoboken, NJ 07030"
0,amandas-restaurant-hoboken-2,Amanda’s Restaurant,4.0,"['Breakfast & Brunch', 'American (New)']",537,(201) 798-0101,"908 Washington St Hoboken, NJ 07030"
0,vitos-italian-deli-hoboken,Vito’s Italian Deli,4.5,['Delis'],269,(201) 792-4944,"806 Washington St Hoboken, NJ 07030"
0,grimaldis-hoboken,Grimaldi’s,4.0,['Pizza'],378,(201) 792-0010,"411 Washington St Hoboken, NJ 07030"
0,sweet-hoboken,Sweet,4.0,"['Desserts', 'Bakeries', 'Cupcakes']",221,(201) 420-0111,"343 Garden St Hoboken, NJ 07030"
0,tutta-pesca-hoboken,Tutta Pesca,4.5,"['Seafood', 'Seafood Markets', 'Italian']",202,(201) 710-7727,"155 3rd St Hoboken, NJ 07030"
0,choc-o-pain-hoboken-2,Choc O Pain,4.0,"['Bakeries', 'French', 'Cooking Classes']",304,(201) 710-5175,"157 1st St Hoboken, NJ 07030"
0,satay-malaysian-cuisine-hoboken-2,Satay Malaysian Cuisine,3.5,"['Malaysian', 'Chinese', 'Asian Fusion']",472,(201) 386-8688,"99 Washington St Hoboken, NJ 07030"
0,old-german-bakery-hoboken,Old German Bakery,4.0,['Bakeries'],236,(201) 683-8644,"332 Washington St Hoboken, NJ 07030"
0,benny-tudinos-pizzeria-hoboken,Benny Tudino’s Pizzeria,3.5,['Pizza'],614,(201) 792-4132,"622 Washington St Hoboken, NJ 07030"
0,zacks-oak-bar-and-restaurant-hoboken,Zack’s Oak Bar & Restaurant,4.0,"['American (Traditional)', 'Bars']",381,(201) 653-7770,"232 Willow Ave Hoboken, NJ 07030"
0,empire-coffee-and-tea-company-hoboken,Empire Coffee & Tea Company,4.0,['Coffee & Tea'],210,(201) 216-9625,"338 Bloomfield St Hoboken, NJ 07030"
0,elysian-cafe-hoboken,Elysian Cafe,3.5,"['American (New)', 'French', 'Bars']",498,(201) 798-5898,"1001 Washington St Hoboken, NJ 07030"
0,johnny-pepperoni-hoboken,Johnny Pepperoni,4.0,"['Pizza', 'Italian']",324,(201) 850-1533,"219 11th St Hoboken, NJ 07030"
0,grand-vin-hoboken,Grand Vin,4.0,"['Wine Bars', 'Italian', 'Cocktail Bars']",293,(201) 656-0012,"500 Grand St Hoboken, NJ 07030"
0,onieals-hoboken,Onieals,4.0,"['American (Traditional)', 'Sports Bars']",321,(201) 653-1492,"343 Park Ave Hoboken, NJ 07030"
